parameter,year,median,lower,upper
Minimum,1985,0.08977096502921908,0.08490649437265355,0.09425535654598555
Minimum,1986,0.08053726152431799,0.0785752919920855,0.082415754432859
Minimum,1987,0.09012343578943365,0.08583791446735571,0.0942509943683169
Minimum,1988,0.0851799211337443,0.08225133167010401,0.08786242412095095
Minimum,1989,0.08880689974531478,0.0859713131791196,0.09138550929135303
Minimum,1990,0.08518792416426728,0.08356374922655135,0.0867814636242331
Minimum,1991,0.08517642190140198,0.08329647982666671,0.08697105105825029
Minimum,1992,0.08252259595611727,0.08026451235009946,0.08472130056025877
Minimum,1993,0.08462354472192363,0.08159307802440252,0.08749072934572447
Minimum,1994,0.09104066485467824,0.08680928598408391,0.09543755127977142
Minimum,1995,0.086331207338616045,0.08157113231384303,0.09093771105069513
Minimum,1996,0.08798668262796389,0.08386228672837058,0.09200569471062502
Minimum,1997,0.0856293157122634,0.08255577864138372,0.08852174896860843
Minimum,1998,0.09272295159381438,0.08863866204510994,0.09681875386423361
Minimum,1999,0.0838545996204659,0.08042391202930636,0.0869984523620263
Minimum,2000,0.08446462468801885,0.0819932478718876,0.08679420400876228
Minimum,2001,0.09250144132683559,0.08958779449012812,0.09508058952573864
Minimum,2002,0.08542246526816336,0.08369102541535058,0.08711350871568298
Minimum,2003,0.08897742431096502,0.08648311264725832,0.09139255055660729
Minimum,2004,0.09801136058768746,0.09445561878978681,0.10132515624713942
Minimum,2005,0.09258816650159006,0.09026839035351074,0.09469067503714286
Minimum,2006,0.09049120714580577,0.08755359503169095,0.09332724447586353
Minimum,2007,0.08724300570192325,0.08569049612200859,0.08875509895180442
Minimum,2008,0.09095446524271406,0.08910124198438567,0.09282974349765112
Minimum,2009,0.09264849516435189,0.09066047225200431,0.09455839710186124
Minimum,2010,0.08762500125879513,0.08486601235491442,0.09005646196618664
Minimum,2011,0.09059113294965307,0.08885205095467687,0.0921866379552088
Minimum,2012,0.0939609479044056,0.09208682304184418,0.09579723215607598
Minimum,2013,0.10539745289495428,0.10337054295984474,0.1073867202474511
Minimum,2014,0.10085096347478201,0.09836363855143378,0.10304906799678464
Minimum,2015,0.09541359529904642,0.09365222336840777,0.09710577488634493
Maxmium,1985,0.0943572759967643,0.0866124154727349,0.10325641859247683
Maxmium,1986,0.10029720834380046,0.09558630586733476,0.1052530654420588
Maxmium,1987,0.09193775474582247,0.08365147761667173,0.10094068419287573
Maxmium,1988,0.09342861271504907,0.087304867209398,0.09989769242606163
Maxmium,1989,0.0813450396314464,0.07516509316556384,0.08765407337158679
Maxmium,1990,0.08971966664177722,0.08404588482527674,0.0958671214545022
Maxmium,1991,0.08696883123896458,0.08004309595266128,0.09447143531852226
Maxmium,1992,0.09333188528880705,0.08798145920589676,0.09881711482032825
Maxmium,1993,0.08059265901859591,0.07607127391546757,0.08589850330829911
Maxmium,1994,0.07369761691057747,0.0661308998383537,0.08184215163414409
Maxmium,1995,0.07502291083771051,0.0670880289810946,0.08350207953599656
Maxmium,1996,0.07953841005142186,0.07311492970431918,0.0863153844441674
Maxmium,1997,0.0930037008557606,0.08629800375465123,0.10018116109818383
Maxmium,1998,0.07691071966165194,0.07045802870579605,0.08453255984598997
Maxmium,1999,0.07761487841442614,0.07225209379191584,0.08333904816282535
Maxmium,2000,0.07977144456625723,0.07609747044049883,0.08362831903871178
Maxmium,2001,0.06335379288053558,0.0582569924691305,0.06897053919055607
Maxmium,2002,0.0840617100845754,0.0805160180508145,0.08785145341424869
Maxmium,2003,0.07473589239714952,0.06915485075673211,0.08079669548304068
Maxmium,2004,0.07685573849168029,0.0696661785094316,0.08462784819793333
Maxmium,2005,0.08176824818143084,0.07730737667219953,0.08646210958037963
Maxmium,2006,0.07188642677096378,0.06722666125278928,0.07685456285038157
Maxmium,2007,0.08400547401754763,0.08086139233909367,0.08713494889572616
Maxmium,2008,0.08776268013164973,0.08349557078204337,0.09250466318069583
Maxmium,2009,0.07115225209034179,0.06737181936114746,0.07545003034897516
Maxmium,2010,0.0864419607288473,0.08107846366550665,0.09235307893911011
Maxmium,2011,0.06441001359902468,0.060495155663658894,0.06865600704936745
Maxmium,2012,0.0916621966664482,0.0862587927971309,0.09729298902485845
Maxmium,2013,0.06914992114961281,0.06467658136858499,0.07394612647326823
Maxmium,2014,0.08074168655723898,0.07567401228295201,0.08634749031331614
Maxmium,2015,0.08152499299636136,0.07750920154463263,0.08574022812768817
Gree-up rate,1985,0.09075650120464265,0.0774233152468429,0.10755747931783666
Gree-up rate,1986,0.09600836639649318,0.08827031610054259,0.10511405788618769
Gree-up rate,1987,0.09437016201812184,0.07926331694270272,0.11102946547190015
Gree-up rate,1988,0.09966868522408429,0.08874150463580592,0.1125582476028871
Gree-up rate,1989,0.09553381472144207,0.08436980840409698,0.10985562994648058
Gree-up rate,1990,0.09972488514297509,0.0886934925583109,0.11353736904995443
Gree-up rate,1991,0.10195097979000618,0.09173034120390429,0.11442656308830047
Gree-up rate,1992,0.10595363868347277,0.09606476992958339,0.1173766764661198
Gree-up rate,1993,0.10851466583210703,0.09706136387444567,0.12261107756896626
Gree-up rate,1994,0.08833716556422416,0.07282160584358871,0.10605116472940729
Gree-up rate,1995,0.09361102417649181,0.07878790547471311,0.11208649046464686
Gree-up rate,1996,0.09556820689862044,0.08323047908451037,0.10977105814627275
Gree-up rate,1997,0.10703851589030017,0.09676800500576682,0.11924137078358155
Gree-up rate,1998,0.10042589135638806,0.0874788172839515,0.11451411642097259
Gree-up rate,1999,0.10465475402102745,0.0925482364179562,0.11812653617960092
Gree-up rate,2000,0.09951216913551084,0.090935824833829,0.10919834490614244
Gree-up rate,2001,0.10135296644513753,0.08982203244789863,0.115266891137116
Gree-up rate,2002,0.09092966770633168,0.08371865349659133,0.09889426453213507
Gree-up rate,2003,0.09693257700352989,0.08388727991413432,0.11208177325506416
Gree-up rate,2004,0.09715006700521875,0.08350316995720077,0.11272443143719482
Gree-up rate,2005,0.10001140855795006,0.09062368925131949,0.1114126231457621
Gree-up rate,2006,0.09576495897162735,0.0853808732077967,0.10921654250106876
Gree-up rate,2007,0.10144963753191194,0.09389708714858504,0.11003164442894316
Gree-up rate,2008,0.09846562008076515,0.09010244213259616,0.10734002453578932
Gree-up rate,2009,0.10594957086802034,0.0947249856383018,0.12055530851406404
Gree-up rate,2010,0.09526990072542038,0.08543601064081166,0.10826936669166709
Gree-up rate,2011,0.08332267457031872,0.0753679579243121,0.09205037230184016
Gree-up rate,2012,0.10843177819953591,0.09621959397041188,0.12431262598971639
Gree-up rate,2013,0.10165526732581814,0.087438838051458,0.12095539338966851
Gree-up rate,2014,0.08711608509349589,0.07494880037012028,0.10268386170091588
Gree-up rate,2015,0.09381027432216661,0.08571050024697487,0.10195202436104467
Start of season,1985,149.26469591886436,145.79666327409743,152.52265907700624
Start of season,1986,145.06822891907677,143.4292523232115,147.0089756635823
Start of season,1987,151.1214324261357,147.4454770521748,155.23356423483068
Start of season,1988,145.0156294700548,142.7586514558798,147.81790160906053
Start of season,1989,143.46044508348356,139.37276274908717,147.17572856706173
Start of season,1990,140.03857760654978,137.0763741866825,143.32290512972452
Start of season,1991,164.45227615606345,161.24792624069656,167.8711812339736
Start of season,1992,148.52451496263188,146.42038056006092,150.75539959741707
Start of season,1993,132.5956349769113,130.45695511938402,135.3549567999741
Start of season,1994,143.93751733831044,138.77998855935516,149.54280184037867
Start of season,1995,147.4951280324273,143.65819555236587,152.03479624705153
Start of season,1996,150.30136850143884,148.0684155382851,152.72755972708168
Start of season,1997,146.74338728291596,144.74770142817187,149.0639563926415
Start of season,1998,139.25242853228394,135.16866848891843,143.83632281028864
Start of season,1999,143.50436060343614,139.77420441671458,147.24978301415095
Start of season,2000,130.5194364154188,128.87894898711139,132.63546056190427
Start of season,2001,140.5338435972921,138.6047364246841,142.59911621682667
Start of season,2002,138.72166824918895,137.12783379997893,140.68127967125673
Start of season,2003,134.9741413722414,131.74699276256598,138.8167680987678
Start of season,2004,151.2261691348939,148.37544723114914,153.80243145975163
Start of season,2005,143.99659968653788,142.164755351437,146.05415940748424
Start of season,2006,144.1443752326312,142.18408687992007,146.44295827873395
Start of season,2007,125.87778557310833,124.52709439491758,127.78458004779093
Start of season,2008,142.12460731261473,140.28720254223367,144.2242836525232
Start of season,2009,134.29649222376318,129.93639151867043,138.7274035925471
Start of season,2010,142.04495647617819,139.19824817562488,145.12922084903684
Start of season,2011,136.1779842582031,134.32316186987867,138.33739129299758
Start of season,2012,142.23188293473234,140.36275778559786,144.2783313519171
Start of season,2013,143.9485437422902,142.1857296332313,146.16177258778478
Start of season,2014,131.88897450522558,129.26531028603105,134.8028068411891
Start of season,2015,136.20181245673027,134.54528537898344,138.25985013750486
