permutations,predictor,median,lower,upper
1,Temperature,-2.4892893087104966,-6.53859247631509,0.4828241325672745
1,Chilling,-0.500032222559808,-2.784329969051961,1.1887674563251756
1,Temperature x Chilling,-2.617091625887255,-6.797979898831348,0.41382437263548383
2,Temperature,-3.7516889464218797,-6.516383015654696,-0.9537915016128944
2,Chilling,-0.31473575532153564,-1.7451093556627837,0.9690259387327509
2,Temperature x Chilling,-1.6454361367515127,-4.253607130947093,0.3735531433886603
3,Temperature,-3.987827959552765,-6.027015124289663,-1.967459234253255
3,Chilling,-0.35192050786303697,-1.421578868675295,0.6301492992263921
3,Temperature x Chilling,-1.6408161624685327,-3.590154067236055,-0.06081120747780736
4,Temperature,-3.5552454603576953,-5.36671804422074,-1.8381866409293277
4,Chilling,-0.3333144174339987,-1.2393630658759078,0.5209590720456916
4,Temperature x Chilling,-1.9242109870667323,-3.617981265612212,-0.4410222316595659
5,Temperature,-3.619791391106241,-5.189569627977672,-2.1271070415069913
5,Chilling,-0.28429551469945025,-1.0606275567992829,0.4556682903529058
5,Temperature x Chilling,-1.7579340887467043,-3.245034634466469,-0.4468729197966386
6,Temperature,-3.4579579273527283,-5.105705325716905,-2.0092356213103457
6,Chilling,-0.25692258420057645,-1.003426994753675,0.437488553438791
6,Temperature x Chilling,-1.907305642139205,-3.451320029633268,-0.6115912823833782
7,Temperature,-3.8645857991117056,-5.328163380547957,-2.5559873311593444
7,Chilling,-0.3546035590416142,-1.0601992398788955,0.2920383735808848
7,Temperature x Chilling,-1.7014680793113528,-3.043538849405375,-0.553336404030562
8,Temperature,-3.8976924424663633,-5.234647167569941,-2.7155225958827907
8,Chilling,-0.33094070076932636,-0.9619870963376279,0.253504010467863
8,Temperature x Chilling,-1.6738895172412849,-2.873376789090721,-0.625461971352077
9,Temperature,-3.683606474222242,-5.005167254893415,-2.5356648102211374
9,Chilling,-0.2773890344311733,-0.8927222751066581,0.3134727811814665
9,Temperature x Chilling,-1.634515044559923,-2.7852184411526033,-0.6223775507988275
10,Temperature,-3.6854766656368914,-4.981270782028253,-2.5410207108070284
10,Chilling,-0.2809127345799659,-0.8654846379085802,0.2847593544115396
10,Temperature x Chilling,-1.6295485742564382,-2.736790414680029,-0.6383552780589803
